Fid|Type|X|Y|Z|rX|rY|rZ|VirtualWorld|Health|VehicleId|Var0|Var1|
4|0|-91.833786|-12.205096|2.709396|0.000000|0.000000|63.813972|0|500.000000|-1|0|0|
2|2|2234.914550|722.342041|10.320310|0.000000|0.000000|267.902374|0|500.000000|-1|0|0|
5|0|2207.876708|715.475158|9.671871|0.000000|0.000000|88.987503|0|100.000000|-1|0|0|
6|1|2203.661621|710.764709|10.671875|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
7|2|2200.071289|713.414123|10.671875|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
8|3|2197.902099|710.257507|10.671875|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
9|4|2200.073486|708.902038|10.671875|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|10|4|2200.073486|708.902038|10.671875|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
10|1|2222.756103|713.675292|10.671875|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
11|2|2223.057128|717.050842|10.671875|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
12|3|2229.670410|711.440368|10.671875|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
13|4|2225.660644|710.524658|10.671875|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
14|5|2226.652343|713.787841|11.064650|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
15|6|2224.474365|719.318908|11.417109|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
16|7|2227.741943|720.089782|11.379191|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
17|8|2232.492431|712.590698|10.671875|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
21|12|2238.588867|719.870666|10.820312|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
22|13|2238.588867|719.870666|9.820312|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
23|14|2238.588867|719.870666|9.820312|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
18|9|2238.644775|722.769226|9.820312|0.000000|0.000000|2.530102|0|100.000000|-1|0|0|
20|11|2239.575927|722.805358|9.820312|0.000000|0.000000|3.036800|0|100.000000|-1|0|0|
19|10|2240.594238|722.902648|9.820312|0.000000|0.000000|0.940035|0|100.000000|-1|0|0|
24|0|2264.894042|713.548950|10.335861|0.000000|0.000000|0.000000|0|100.000000|-1|0|0|
